iter	Passed	Remaining
0	57	57018
1	57	28704
2	57	19268
3	58	14527
4	58	11686
5	59	9928
6	60	8554
7	60	7529
8	61	6722
9	61	6084
10	61	5562
11	62	5126
12	62	4754
13	63	4446
14	63	4174
15	63	3931
16	64	3718
17	64	3528
18	65	3363
19	65	3214
20	66	3078
21	66	2960
22	67	2847
23	67	2740
24	67	2644
25	68	2554
26	68	2468
27	68	2391
28	69	2318
29	69	2250
30	70	2192
31	70	2133
32	70	2077
33	71	2023
34	71	1973
35	71	1926
36	72	1884
37	72	1844
38	73	1803
39	73	1764
40	73	1728
41	74	1693
42	74	1662
43	75	1630
44	75	1602
45	75	1575
46	76	1549
47	76	1524
48	77	1498
49	77	1474
50	77	1450
51	78	1427
52	78	1405
53	79	1384
54	79	1363
55	79	1343
56	80	1324
57	80	1304
58	80	1291
59	81	1274
60	81	1259
61	82	1244
62	82	1228
63	83	1215
64	83	1200
65	84	1197
66	84	1183
67	85	1169
68	85	1157
69	86	1143
70	86	1131
71	86	1119
72	87	1108
73	87	1097
74	88	1086
75	88	1074
76	88	1064
77	89	1054
78	89	1043
79	89	1033
80	90	1023
81	90	1014
82	90	1003
83	91	994
84	91	984
85	91	977
86	92	968
87	92	959
88	93	953
89	93	945
90	93	937
91	94	931
92	94	923
93	95	916
94	95	909
95	95	902
96	96	897
97	96	890
98	97	884
99	97	878
100	97	871
101	98	866
102	98	861
103	99	855
104	99	849
105	100	843
106	100	838
107	100	832
108	101	827
109	101	822
110	101	816
111	102	811
112	102	806
113	103	801
114	103	796
115	103	792
116	104	786
117	104	781
118	104	777
119	105	772
120	105	767
121	106	763
122	106	759
123	106	754
124	107	750
125	107	746
126	107	741
127	108	737
128	108	733
129	109	729
130	109	725
131	109	721
132	110	717
133	110	714
134	110	710
135	111	707
136	111	703
137	112	699
138	112	696
139	112	693
140	113	690
141	113	685
142	113	682
143	114	678
144	114	675
145	114	671
146	115	670
147	115	666
148	116	663
149	116	660
150	116	657
151	117	654
152	117	651
153	118	648
154	118	645
155	118	643
156	119	640
157	119	637
158	120	635
159	121	636
160	121	633
161	121	630
162	122	627
163	122	625
164	123	622
165	123	620
166	123	617
167	124	615
168	124	612
169	125	610
170	125	607
171	125	605
172	126	602
173	126	600
174	126	597
175	127	596
176	127	593
177	128	591
178	129	592
179	129	590
180	130	588
181	130	585
182	130	583
183	131	581
184	131	579
185	131	577
186	132	574
187	132	573
188	133	570
189	133	568
190	133	566
191	134	565
192	134	562
193	134	560
194	135	558
195	135	556
196	136	554
197	136	553
198	136	551
199	137	549
200	137	547
201	138	545
202	138	543
203	138	541
204	139	539
205	139	537
206	139	535
207	140	533
208	140	531
209	140	530
210	141	528
211	141	527
212	142	525
213	142	523
214	143	522
215	143	520
216	143	519
217	144	517
218	144	515
219	144	513
220	145	512
221	145	510
222	146	508
223	146	507
224	146	505
225	147	504
226	147	502
227	147	501
228	148	499
229	148	497
230	149	496
231	149	494
232	149	493
233	150	492
234	150	490
235	151	488
236	151	487
237	151	485
238	152	484
239	152	483
240	152	481
241	153	480
242	153	479
243	154	477
244	154	476
245	155	475
246	155	473
247	155	472
248	156	470
249	156	469
250	156	468
251	157	466
252	157	465
253	157	463
254	158	462
255	158	460
256	158	459
257	159	459
258	160	458
259	160	457
260	160	455
261	161	454
262	161	453
263	162	451
264	162	450
265	162	449
266	163	448
267	163	446
268	164	445
269	164	444
270	164	443
271	165	442
272	165	441
273	165	439
274	166	439
275	167	438
276	167	437
277	167	436
278	168	435
279	168	434
280	169	433
281	169	432
282	170	431
283	170	430
284	170	428
285	171	427
286	171	426
287	172	425
288	172	424
289	172	423
290	173	422
291	173	421
292	174	420
293	174	419
294	175	418
295	175	417
296	175	416
297	176	415
298	176	414
299	176	412
300	177	411
301	177	410
302	178	409
303	178	408
304	178	407
305	179	406
306	179	405
307	179	404
308	180	403
309	180	401
310	180	400
311	181	399
312	181	398
313	181	397
314	182	396
315	182	395
316	183	394
317	183	393
318	183	392
319	184	391
320	184	390
321	185	389
322	186	389
323	186	388
324	186	387
325	187	386
326	187	385
327	187	384
328	188	383
329	188	382
330	188	381
331	189	380
332	189	379
333	189	378
334	190	377
335	190	377
336	191	376
337	191	375
338	191	374
339	192	373
340	192	372
341	193	371
342	193	370
343	193	369
344	194	368
345	194	368
346	195	367
347	195	366
348	195	365
349	196	364
350	196	363
351	196	362
352	197	361
353	197	360
354	198	359
355	198	359
356	198	358
357	199	357
358	199	356
359	200	355
360	200	354
361	200	354
362	201	353
363	201	352
364	202	351
365	202	350
366	202	350
367	203	349
368	203	348
369	204	347
370	204	347
371	205	346
372	205	345
373	206	344
374	206	344
375	207	343
376	207	342
377	207	342
378	208	341
379	208	340
380	208	339
381	209	338
382	209	337
383	210	337
384	210	336
385	210	335
386	211	334
387	211	333
388	211	332
389	212	331
390	212	331
391	213	330
392	213	329
393	213	328
394	214	328
395	214	327
396	215	326
397	215	325
398	215	325
399	216	324
400	216	323
401	216	322
402	217	321
403	217	321
404	218	320
405	218	319
406	218	318
407	219	318
408	219	317
409	219	316
410	220	315
411	220	314
412	220	314
413	221	313
414	221	312
415	222	311
416	222	311
417	222	310
418	223	309
419	223	308
420	223	307
421	224	307
422	224	306
423	225	305
424	225	305
425	226	304
426	226	303
427	226	302
428	227	302
429	227	301
430	228	301
431	228	300
432	228	299
433	229	299
434	229	298
435	230	297
436	230	296
437	230	296
438	231	295
439	231	294
440	231	294
441	232	293
442	232	292
443	233	291
444	233	291
445	233	290
446	234	289
447	234	289
448	235	288
449	235	287
450	235	287
451	236	286
452	236	285
453	237	285
454	237	284
455	237	283
456	238	283
457	238	282
458	238	281
459	239	281
460	239	280
461	240	279
462	240	279
463	241	278
464	241	277
465	241	277
466	242	276
467	242	275
468	242	275
469	243	274
470	243	273
471	244	273
472	244	272
473	244	271
474	245	271
475	245	270
476	245	269
477	246	268
478	246	268
479	247	267
480	247	267
481	247	266
482	248	265
483	248	265
484	249	264
485	249	263
486	249	263
487	250	262
488	250	261
489	250	261
490	251	260
491	251	259
492	252	259
493	252	258
494	252	257
495	253	257
496	253	256
497	253	255
498	254	255
499	254	254
500	255	254
501	255	253
502	255	252
503	256	252
504	256	251
505	256	250
506	257	250
507	257	249
508	257	248
509	258	248
510	258	247
511	259	246
512	259	246
513	259	245
514	260	245
515	260	244
516	261	243
517	261	243
518	261	242
519	262	242
520	262	241
521	262	240
522	263	240
523	263	239
524	264	238
525	264	238
526	264	237
527	265	237
528	265	236
529	265	235
530	266	235
531	266	234
532	267	234
533	267	233
534	268	232
535	268	232
536	268	231
537	269	231
538	269	230
539	270	230
540	270	229
541	270	228
542	271	228
543	271	227
544	271	226
545	272	226
546	272	225
547	272	225
548	273	224
549	273	223
550	273	223
551	274	222
552	274	222
553	275	221
554	275	220
555	275	220
556	276	219
557	276	219
558	277	218
559	277	218
560	278	217
561	278	217
562	278	216
563	279	215
564	279	215
565	280	214
566	280	214
567	280	213
568	281	212
569	281	212
570	281	211
571	282	211
572	282	210
573	283	210
574	283	209
575	284	209
576	284	208
577	284	208
578	285	207
579	285	206
580	286	206
581	286	205
582	286	205
583	287	204
584	287	204
585	288	203
586	288	203
587	288	202
588	289	201
589	289	201
590	290	200
591	290	200
592	291	200
593	292	199
594	292	198
595	292	198
596	293	197
597	293	197
598	293	196
599	294	196
600	294	195
601	295	195
602	295	194
603	295	193
604	296	193
605	296	192
606	297	192
607	297	191
608	297	191
609	298	190
610	298	190
611	298	189
612	299	188
613	299	188
614	300	187
615	300	187
616	300	186
617	301	186
618	301	185
619	301	184
620	302	184
621	302	184
622	303	183
623	303	182
624	303	182
625	304	181
626	304	181
627	305	180
628	305	180
629	306	179
630	306	179
631	306	178
632	307	178
633	307	177
634	308	177
635	308	176
636	308	176
637	309	175
638	309	174
639	310	174
640	310	173
641	310	173
642	311	172
643	311	172
